Image,NoiseType,FilterType,MSE,PSNR,SSIM
ChillGuy,SaltPepper_0.05,Median3,0,0,1
ChillGuy,SaltPepper_0.05,Median5,0,0,1
ChillGuy,SaltPepper_0.05,Mean3,0,0,1
ChillGuy,SaltPepper_0.05,Mean5,0,0,1
ChillGuy,SaltPepper_0.05,Gaussian3,0,0,1
ChillGuy,SaltPepper_0.05,Gaussian5,0,0,1
ChillGuy,SaltPepper_0.1,Median3,0,0,1
ChillGuy,SaltPepper_0.1,Median5,0,0,1
ChillGuy,SaltPepper_0.1,Mean3,0,0,1
ChillGuy,SaltPepper_0.1,Mean5,0,0,1
ChillGuy,SaltPepper_0.1,Gaussian3,0,0,1
ChillGuy,SaltPepper_0.1,Gaussian5,0,0,1
ChillGuy,Gaussian_10,Median3,0,0,1
ChillGuy,Gaussian_10,Median5,0,0,1
ChillGuy,Gaussian_10,Mean3,0,0,1
ChillGuy,Gaussian_10,Mean5,0,0,1
ChillGuy,Gaussian_10,Gaussian3,0,0,1
ChillGuy,Gaussian_10,Gaussian5,0,0,1
ChillGuy,Gaussian_20,Median3,0,0,1
ChillGuy,Gaussian_20,Median5,0,0,1
ChillGuy,Gaussian_20,Mean3,0,0,1
ChillGuy,Gaussian_20,Mean5,0,0,1
ChillGuy,Gaussian_20,Gaussian3,0,0,1
ChillGuy,Gaussian_20,Gaussian5,0,0,1
David,SaltPepper_0.05,Median3,0,0,1
David,SaltPepper_0.05,Median5,0,0,1
David,SaltPepper_0.05,Mean3,0,0,1
David,SaltPepper_0.05,Mean5,0,0,1
David,SaltPepper_0.05,Gaussian3,0,0,1
David,SaltPepper_0.05,Gaussian5,0,0,1
David,SaltPepper_0.1,Median3,0,0,1
David,SaltPepper_0.1,Median5,0,0,1
David,SaltPepper_0.1,Mean3,0,0,1
David,SaltPepper_0.1,Mean5,0,0,1
David,SaltPepper_0.1,Gaussian3,0,0,1
David,SaltPepper_0.1,Gaussian5,0,0,1
David,Gaussian_10,Median3,0,0,1
David,Gaussian_10,Median5,0,0,1
David,Gaussian_10,Mean3,0,0,1
David,Gaussian_10,Mean5,0,0,1
David,Gaussian_10,Gaussian3,0,0,1
David,Gaussian_10,Gaussian5,0,0,1
David,Gaussian_20,Median3,0,0,1
David,Gaussian_20,Median5,0,0,1
David,Gaussian_20,Mean3,0,0,1
David,Gaussian_20,Mean5,0,0,1
David,Gaussian_20,Gaussian3,0,0,1
David,Gaussian_20,Gaussian5,0,0,1
Iamgrusnii,SaltPepper_0.05,Median3,0,0,1
Iamgrusnii,SaltPepper_0.05,Median5,0,0,1
Iamgrusnii,SaltPepper_0.05,Mean3,0,0,1
Iamgrusnii,SaltPepper_0.05,Mean5,0,0,1
Iamgrusnii,SaltPepper_0.05,Gaussian3,0,0,1
Iamgrusnii,SaltPepper_0.05,Gaussian5,0,0,1
Iamgrusnii,SaltPepper_0.1,Median3,0,0,1
Iamgrusnii,SaltPepper_0.1,Median5,0,0,1
Iamgrusnii,SaltPepper_0.1,Mean3,0,0,1
Iamgrusnii,SaltPepper_0.1,Mean5,0,0,1
Iamgrusnii,SaltPepper_0.1,Gaussian3,0,0,1
Iamgrusnii,SaltPepper_0.1,Gaussian5,0,0,1
Iamgrusnii,Gaussian_10,Median3,0,0,1
Iamgrusnii,Gaussian_10,Median5,0,0,1
Iamgrusnii,Gaussian_10,Mean3,0,0,1
Iamgrusnii,Gaussian_10,Mean5,0,0,1
Iamgrusnii,Gaussian_10,Gaussian3,0,0,1
Iamgrusnii,Gaussian_10,Gaussian5,0,0,1
Iamgrusnii,Gaussian_20,Median3,0,0,1
Iamgrusnii,Gaussian_20,Median5,0,0,1
Iamgrusnii,Gaussian_20,Mean3,0,0,1
